time (us),x (mdps),y (mdps),z(mdps)
1759266319155649,-113.75,-1067.5,-682.5,
1759266319158429,490,-437.5,-988.75,
1759266319161016,210,-323.75,-997.5,
1759266319163697,271.25,-551.25,-1338.75,
1759266319166430,8.75,-883.75,-1391.25,
1759266319169243,-17.5,-735,-822.5,
1759266319172368,-192.5,-997.5,-1793.75,
1759266319175069,-297.5,-1277.5,-1286.25,
1759266319177694,26.25,-1207.5,-1610,
1759266319180323,411.25,-481.25,-1505,
1759266319183070,350,-70,-638.75,
1759266319185909,96.25,-350,717.5,
1759266319189018,192.5,-1137.5,1041.25,
1759266319191751,-551.25,-1207.5,595,
1759266319194469,1461.25,-630,341.25,
1759266319197015,761.25,-1286.25,971.25,
1759266319199690,831.25,-595,1277.5,
1759266319202371,673.75,-43.75,288.75,
1759266319205108,1356.25,140,1260,
1759266319207726,656.25,367.5,533.75,
1759266319210311,1881.25,-481.25,1102.5,
1759266319212895,1251.25,-227.5,787.5,
1759266319215556,2152.5,-743.75,1601.25,
1759266319218210,1645,-840,2100,
1759266319220948,1172.5,-131.25,1198.75,
1759266319223839,1925,201.25,1837.5,
1759266319226413,1312.5,-376.25,1706.25,
1759266319229056,1207.5,-271.25,2135,
1759266319232081,1303.75,-516.25,1347.5,
1759266319234680,1312.5,-332.5,1172.5,
1759266319237223,1093.75,-840,1426.25,
1759266319240014,1120,-210,1286.25,
1759266319242718,1067.5,-201.25,1225,
1759266319245436,1225,-245,1548.75,
1759266319248150,1207.5,-542.5,743.75,
1759266319250724,918.75,-323.75,1732.5,
1759266319253435,770,-1312.5,-87.5,
1759266319256367,1041.25,-945,980,
1759266319259158,1233.75,-1190,595,
1759266319261875,1207.5,-656.25,122.5,
1759266319264403,1960,-297.5,280,
1759266319266949,1820,-376.25,796.25,
1759266319269492,1837.5,-315,201.25,
1759266319272298,1557.5,-901.25,411.25,
1759266319275095,1732.5,-1295,-192.5,
1759266319277871,1093.75,-1977.5,-498.75,
1759266319280399,787.5,-2563.75,-1006.25,
1759266319282995,481.25,-2030,-1172.5,
1759266319285542,682.5,-1820,-1268.75,
1759266319288233,490,-1032.5,-1163.75,
1759266319291008,393.75,-761.25,-323.75,
1759266319293706,323.75,-717.5,-682.5,
1759266319296206,-253.75,-857.5,-192.5,
1759266319298733,122.5,-1295,113.75,
1759266319301335,-96.25,-1706.25,-17.5,
1759266319304020,-507.5,-1496.25,533.75,
1759266319307000,-831.25,-1601.25,218.75,
1759266319309709,-166.25,-1023.75,761.25,
1759266319312393,-385,-805,1155,
1759266319314995,507.5,-586.25,892.5,
1759266319317665,770,-376.25,997.5,
1759266319320337,507.5,-612.5,980,
1759266319323294,1050,-586.25,595,
1759266319326062,980,-1032.5,280,
1759266319328729,918.75,-857.5,-43.75,
1759266319331417,1128.75,-656.25,-140,
1759266319334170,603.75,-455,183.75,
1759266319337187,691.25,-490,481.25,
1759266319340267,603.75,-752.5,980,
1759266319343031,428.75,-717.5,1198.75,
1759266319345725,157.5,-175,691.25,
1759266319348388,332.5,-43.75,1155,
1759266319351157,437.5,428.75,1505,
1759266319354104,-297.5,297.5,1163.75,
1759266319357242,-210,358.75,595,
1759266319360076,-70,183.75,778.75,
1759266319362912,-87.5,-35,875,
1759266319365734,-35,122.5,927.5,
1759266319368768,560,280,428.75,
1759266319371907,385,446.25,157.5,
1759266319374864,796.25,507.5,26.25,
1759266319377473,1120,481.25,-26.25,
1759266319380048,1102.5,463.75,-630,
1759266319382832,1522.5,-280,-481.25,
1759266319385474,1478.75,-700,-665,
1759266319388104,1723.75,-752.5,-1015,
1759266319391307,1723.75,-1032.5,-988.75,
1759266319393878,1487.5,-971.25,-726.25,
1759266319396546,1575,-813.75,-796.25,
1759266319399477,1268.75,-787.5,-831.25,
1759266319402323,1190,-805,-568.75,
1759266319405216,595,-866.25,-717.5,
1759266319408088,1067.5,-1146.25,-472.5,
1759266319410880,1155,-1111.25,-52.5,
1759266319413780,1076.25,-1190,358.75,
1759266319416480,953.75,-1102.5,936.25,
1759266319419238,971.25,-1093.75,1470,
1759266319422233,638.75,-840,1863.75,
1759266319425054,1067.5,-1050,2056.25,
1759266319427791,1566.25,-1181.25,1758.75,
1759266319430712,1067.5,-1338.75,1706.25,
1759266319433471,1671.25,-1645,1601.25,
1759266319436160,1408.75,-1680,1863.75,
1759266319439045,1102.5,-1723.75,1881.25,
1759266319441979,1146.25,-1890,1890,
1759266319444702,1627.5,-2161.25,1933.75,
1759266319447803,1470,-2126.25,2126.25,
1759266319450577,1408.75,-1907.5,1916.25,
1759266319453454,1251.25,-2038.75,2082.5,
1759266319456474,1041.25,-1846.25,2030,
1759266319459528,402.5,-1303.75,1925,
1759266319462473,105,-1137.5,2257.5,
1759266319465105,43.75,-1102.5,2432.5,
1759266319467753,586.25,-761.25,2502.5,
1759266319470465,630,-1111.25,2275,
1759266319473633,647.5,-726.25,2345,
1759266319476610,568.75,-542.5,2003.75,
1759266319479354,551.25,-490,1715,
1759266319481948,227.5,-183.75,1295,
1759266319484522,315,-393.75,315,
1759266319487173,498.75,-306.25,-245,
1759266319490176,218.75,-210,-787.5,
1759266319493105,533.75,-122.5,-1128.75,
1759266319495786,1015,-192.5,-1085,
1759266319498441,1242.5,-367.5,-962.5,
1759266319501174,1251.25,-525,-1461.25,
1759266319504019,1163.75,-367.5,-1522.5,
1759266319507524,577.5,-516.25,-1820,
1759266319510461,341.25,-621.25,-2073.75,
1759266319513156,271.25,-288.75,-2310,
1759266319515844,481.25,105,-2318.75,
1759266319518520,218.75,525,-2362.5,
1759266319521267,385,988.75,-2336.25,
1759266319524375,297.5,1102.5,-1846.25,
1759266319527199,350,945,-1671.25,
1759266319529999,113.75,393.75,-1767.5,
1759266319532864,621.25,87.5,-1443.75,
1759266319535793,542.5,-341.25,-1295,
1759266319538851,577.5,245,-1093.75,
1759266319542158,971.25,271.25,-848.75,
1759266319544936,1207.5,306.25,-411.25,
1759266319547481,1181.25,341.25,148.75,
1759266319550107,971.25,-131.25,0,
1759266319552778,621.25,-630,-157.5,
1759266319555611,1163.75,-805,17.5,
1759266319558857,1627.5,-1610,-35,
1759266319561383,1461.25,-1662.5,0,
1759266319563947,1741.25,-1575,367.5,
1759266319566476,1347.5,-1426.25,962.5,
1759266319569047,1216.25,-1198.75,1181.25,
1759266319571771,1067.5,-1111.25,1925,
1759266319574336,516.25,-1268.75,2082.5,
1759266319576828,700,-813.75,2353.75,
1759266319579429,936.25,-1032.5,3018.75,
1759266319582099,586.25,-1277.5,3211.25,
1759266319584939,805,-1330,3106.25,
1759266319587701,831.25,-1120,3307.5,
1759266319590827,507.5,-1303.75,3193.75,
1759266319593497,752.5,-1750,3115,
1759266319596170,787.5,-1627.5,2887.5,
1759266319598991,1076.25,-1820,2651.25,
1759266319601942,1233.75,-1592.5,2318.75,
1759266319604909,1452.5,-1785,1750,
1759266319608415,1356.25,-1653.75,1645,
1759266319611121,1531.25,-2038.75,1487.5,
1759266319613790,1793.75,-2178.75,945,
1759266319616700,1461.25,-2283.75,980,
1759266319619370,1855,-2222.5,813.75,
1759266319622077,1811.25,-2047.5,901.25,
1759266319624964,1802.5,-2003.75,962.5,
1759266319627532,2021.25,-1426.25,883.75,
1759266319630253,1662.5,-1426.25,831.25,
1759266319632913,1688.75,-1076.25,481.25,
1759266319635484,1662.5,-1137.5,463.75,
1759266319638069,1767.5,-1356.25,-35,
1759266319640836,1347.5,-1172.5,-376.25,
1759266319643411,1356.25,-936.25,-175,
1759266319645999,778.75,-717.5,-87.5,
1759266319648581,708.75,-402.5,-306.25,
1759266319651080,857.5,-26.25,-428.75,
1759266319653619,901.25,-70,-140,
1759266319656235,542.5,140,-831.25,
1759266319658954,1032.5,175,-1155,
1759266319661582,761.25,35,-1207.5,
1759266319664107,420,-201.25,-1391.25,
1759266319666616,420,271.25,-1312.5,
1759266319669115,96.25,288.75,-1251.25,
1759266319671801,-463.75,437.5,-953.75,
1759266319674450,-437.5,656.25,-848.75,
1759266319677019,-306.25,577.5,-568.75,
1759266319679520,-78.75,568.75,-883.75,
1759266319682074,367.5,735,-726.25,
1759266319684644,183.75,717.5,-498.75,
1759266319687308,271.25,953.75,-586.25,
1759266319690156,0,796.25,-542.5,
1759266319692802,-35,796.25,87.5,
1759266319695352,-245,542.5,-78.75,
1759266319697897,-183.75,420,-26.25,
1759266319700489,-210,262.5,315,
1759266319702989,105,131.25,-61.25,
1759266319705778,122.5,61.25,-402.5,
1759266319708678,183.75,-218.75,-446.25,
1759266319711191,507.5,-446.25,-551.25,
1759266319713880,315,-542.5,-647.5,
1759266319716347,183.75,-682.5,-665,
1759266319718889,367.5,-848.75,-805,
1759266319721513,306.25,-752.5,-227.5,
1759266319724772,105,-1076.25,87.5,
